star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
236714379,1.0180114,1.1353639,2618.9492168,6.5875997,1.0933,5451.0,4.33923,0
237222864,10.288886,1.391,854.0,2.63881,0.87,5126.0,4.49772,1
274762761,1.0332441,3.8017836,26111.5081972,4.087988,0.156193,2972.0,5.15741,0
278348461,5.4526479,3.401,7750.0,14.5502,1.57,6509.0,4.17233,1
288132261,10.2613397,4.855,726.0,3.60391,1.49,6124.0,4.15391,1
288735205,3.4779776,2.5103489,27021.6932424,12.5541925,0.765001,4699.0,4.54638,1
70440470,3.0354017,2.8809533,16196.2158157,14.1334903,1.07224,5751.0,4.35036,1
355867695,3.1274634,1.9812695,1331.83693,2.5802896,0.693431,4225.0,4.5756,1
355867695,7.4931613,1.9339295,1650.6470497,2.7733674,0.693431,4225.0,4.5756,1
355867695,49.825166,3.8714976,2059.4069037,3.8319135,0.693431,4225.0,4.5756,1
356311210,18.0574016,3.592177,1198.0572128,3.8092663,1.01,5897.0,4.45922,1
365938305,20.8774413,3.562,771.0,2.16145,0.9,5396.0,4.50457,1
406672232,1.0214555,1.252,319.0,1.46266,0.82,5098.0,4.54682,1
416195870,2.7441672,1.418,5650.0,7.84317,0.97,5040.0,4.38482,1
424865156,2.2047452,3.996,6872.0,17.9781,1.99,6532.23,3.96818,1
467179528,10.8948421,2.0719394,3168.3853584,2.4691414,0.435666,3618.0,4.79432,1
467179528,18.8016111,1.9093524,1686.7881033,1.9112282,0.435666,3618.0,4.79432,1
158561566,6.7900981,6.0786576,2158.1733568,9.7548481,2.00068,6378.0,4.438,1
142394656,8.157721,3.788,10273.0,9.31888,0.9,5091.2,4.47,1
198241702,4.2529641,2.5733867,758.584999,2.3483383,0.848906,5591.0,4.38111,1
198241702,9.2378703,2.535,660.0,2.22995,0.85,5591.0,4.38111,1
234523599,3.7955178,2.0198135,52278.9940979,10.3261619,0.445372,3424.0,4.438,1
237200747,14.3034613,3.135,48840.0,18.4949,0.83,5056.6,4.53,0
286923464,6.1349783,5.661,3860.0,13.1383,2.05,5828.7,3.84,1
417948359,3.3159772,1.494,2770.0,4.5947,0.81,4972.7,4.54,1
445859771,4.6313014,1.435,4860.0,9.34848,1.07,5736.0,4.39,1
459969957,19.3203478,4.215,13910.0,9.38964,0.8,4968.1,4.5,1
