pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_rad,st_teff,st_logg
11.1876137,3.183,4924.0,31.8624,2.05,7266.0,4.06
7.8513949,6.835,22029.0,10.544,1.23434,5800.55,4.33
7.0643978,2.424,8268.0,9.39131,0.96,5429.6,4.44
8.9534775,2.696,1136.0,2.35888,0.76,5029.5,4.61
7.5022708,2.605,1760.0,5.55812,1.27,6229.0,4.31
14.0077666,5.8727493,5924.8349672,12.4023108,1.57435,6557.7,4.18
1.692892,2.886,1418.0,11.2371,2.1,9121.5,4.21
2.6652007,3.49,819.0,2.35964,0.56,4043.4,4.69
1.2615323,1.039,2841.0,8.67407,0.78,4927.9,4.57
6.0344667,1.89,1800.0,4.44029,1.05,5586.0,4.36763
9.6867516,2.512,1669.0,3.00336,0.73,4738.1,4.59
2.1031647,5.059,7142.0,16.7087,1.93,6122.0,3.93
7.6416041,2.654,6025.0,27.538,2.05,6496.7,4.33
5.9294088,2.933,10226.0,10.8101,1.06,5095.6,4.33
5.7484439,1.76,1041.0,2.35215,0.69,4534.0,4.61
1.1967018,1.879,824.0,10.3239,1.73,5997.0,4.0
11.2464616,7.391,7576.0,17.6677,2.01,6115.7,3.89
2.5941968,0.861,907.0,4.47229,1.4,6389.0,4.26
8.5112,3.486,4172.76,10.544,1.23434,8156.0,4.35
3.9687994,1.07,1760.0,10.544,1.23434,5286.9,4.33
5.5411114,2.467,633.0,2.04482,0.82,5332.0,4.56429
10.6917268,3.002,535.0,1.79811,0.82,5332.0,4.56429
3.6950015,4.515,7655.0,14.1288,1.63,7106.7,4.2
15.7335693,3.288,2540.0,24.3218,2.21,6800.0,3.91
45.9403293,3.768,14807.0,28.3312,1.28,6479.3,4.33
2.2219839,1.996,4394.0,15.4416,1.87,7166.8,4.33
2.3106428,1.294,6911.0,8.76741,0.99,5339.9,4.41
4.05135,2.4,1132.23,14.2359,3.85,4974.4,4.33
5.5376617,2.517,5390.0,15.6557,2.06,6689.0,3.96
4.5960377,4.744,5000.0,16.2166,2.12,7649.0,4.04
3.612771,4.142,11794.0,19.3662,1.71,8324.0,4.28
3.6714717,2.149,4340.0,10.678,1.54,5618.0,4.06
11.535076,8.555958,2389.90616,12.215808,2.48771,5479.3,3.77
0.8352406,1.043,2065.0,6.4875,1.24,6105.0,4.31
2.4919771,1.4338141,2093.9594201,2.2187585,0.482388,3948.0,4.68962
4.088721700000001,2.726775,878.134108,1.710706,0.577983,3773.0,4.438
25.5195307,6.6877451,558.3758637,2.9641461,1.17321,5742.22,4.29
1.3812115,2.7372191,117.7553083,2.2402361,1.7756799,6711.0,4.06358
2.3922703,9.0053425,63.575141,3.5905923,4.1956,6090.0,3.29864
0.831542,1.985538,248.969585,1.881684,1.1512,5824.0,4.438
2.6282553,2.0930597,75.2858004,0.9817044,1.10743,6282.0,4.37809
3.4239436,1.9601023,443.6391381,1.7581475,0.823019,5626.0,4.56195
10.983042,3.7478987,725.1724567,2.5070075,0.823019,5626.0,4.56195
17.726449,3.4404719,747.7725499,2.261664,0.823019,5626.0,4.56195
40.7199388,4.2436925,355.619391,3.2352713,1.55953,5914.0,3.98
14.7741056,5.504,15041.0,15.3936,1.23,6053.0,4.3135
79.3739596,5.392,1227.0,2.17454,0.77,5168.33,4.60584
18.1663644,2.464,624.0,2.80447,1.14,5572.9,3.83
105.5850893,11.6068811,462.9116325,2.5033335,1.1142,5909.57,4.26154
27.2149622,3.7190483,4731.4046225,8.3475973,0.989667,6270.0,4.54537
19.1807264,3.9621084,544.5602695,2.4311768,0.937973,5262.4,3.98
1.2124493,0.9984653,501.2911711,0.879419,0.518,3751.0,4.75718
4.5541831,7.8146963,187.8286128,0.8887417,0.635812,4280.0,4.61209
41.4856125,6.6899368,959.7522291,12.5121956,3.4868701,6354.0,4.24472
13.7738265,2.9992376,338.2166234,1.8971927,1.01825,5455.96,4.46737
1.9142544,3.256,248.0,2.04421,1.59,6734.0,4.18582
5.0780325,1.2100353,5923.1283069,2.6347763,0.334125,3318.0,4.9581
70.3607265,1.0325441,1353.9678246,8.2807306,2.0982201,6308.0,3.98679
91.6827832,9.7504857,713.2183569,3.239855,1.01814,5802.0,4.44521
10.1944993,2.2648785,317.3261147,2.7392825,1.32661,6082.0,4.33287
14.64319,2.5483426,242.7923919,3.41248,2.04178,6516.0,3.99366
4.1782656,1.675904,2537.6781602,2.1023854,0.404403,3442.0,4.893
17.9453645,3.0740072,5480.684864,3.3839124,0.404403,3442.0,4.893
13.896396,3.5885605,748.5332881,2.4586343,0.888163,5522.87,4.67156
8.1213102,3.1040945,594.6443745,2.3157186,0.888163,5522.87,4.67156
3.9287851,1.8165271,485.9762569,2.329279,0.986943,5668.15,4.52573
27.3613778,4.0586418,20690.6684294,6.4522449,0.44128,3050.0,4.438
29.0497517,7.117,318.0,2.84674,1.8,8208.0,4.25979
31.8132264,11.2567164,11479.375547,21.6314984,1.98893,6028.84,3.96199
3.3088922,6.114,4736.0,24.9862,2.62,6188.0,4.27166
25.0571312,7.5424225,533.486013,3.2396838,1.15281,5696.0,4.26563
24.2454967,3.3725583,6260.6703602,3.878568,0.465271,3535.0,4.84874
14.2545623,4.7250029,7899.6939555,10.7048234,1.09597,5739.0,4.28235
14.1758947,3.7543827,907.1324529,2.6231641,0.864173,5723.87,4.438
19.5901578,4.002861,1182.6678641,3.0026428,0.864173,5723.87,4.438
6.2036219,3.01098,548.9044399,2.056748,0.864173,5723.87,4.438
3.79589,2.4602856,317.5272928,1.553135,0.864173,5723.87,4.438
2.2645386,3.8193701,15019.9420903,5.1936764,0.411471,3443.0,4.81617
3.4447015,1.912,796.0,2.00495,0.63,3912.0,4.62642
3.0300715,2.5466671,21794.6136956,12.7529892,0.857369,5242.82,4.52404
12.72038,2.401,1070.0,4.96046,1.48,6212.0,4.17664
6.238755,3.6178567,373.5681138,2.9728283,1.47768,6212.0,4.17664
3.2947689,1.7483103,1324.0402774,2.5248559,0.62326,3853.0,4.63168
0.7645807,1.07057,394.9832006,1.2407226,0.62326,3853.0,4.63168
12.6396982,3.3830702,3292.6812864,4.6025162,0.789425,5217.0,4.59186
1.8428078,1.449,1950.0,21.2705,4.09,5080.0,4.48159
1.7208555,1.8346409,10014.2587401,13.4646314,1.33402,5832.83,4.20893
4.7802597,1.4588658,1015.4550043,7.6126429,2.3387201,5826.0,3.7213
0.3814849,0.565,570.0,2.0605,0.71,4255.0,4.55641
4.6595169,0.9011821,1725.1706259,2.1961507,0.490729,3489.0,4.74553
6.4002807,2.1559875,1026.6018729,2.2730301,0.720551,4599.0,4.58487
4.8204512,1.756,1930.0,2.36747,0.52,3692.0,4.71598
18.6548829,5.4431451,1495.4449473,4.3869878,0.876154,5141.0,4.49143
4.3074513,2.3379196,1094.8419495,3.2819879,0.876154,5141.0,4.49143
5.9041278,2.7678313,773.9266468,2.4489454,0.876154,5141.0,4.49143
37.9251983,3.5345219,1370.7888539,3.241643,0.876154,5141.0,4.49143
15.9234883,4.021,493.0,2.18203,1.08,5711.85,4.38315
4.3601536,2.3408909,5592.2909183,6.9564258,0.874131,5227.0,4.50479
13.0791581,2.97,1143.0,3.25485,1.0,5453.0,4.41707
4.6517186,2.709,978.0,2.66889,0.85,5154.0,4.47072
9.1549418,2.457,1101.0,2.62011,0.85,5154.0,4.47072
19.9815709,2.724,909.0,2.54717,0.85,5154.0,4.47072
4.088721700000001,4.6235211,738.7670156,2.9700035,0.852266,5154.0,4.47072
1.4415044,0.9274524,547.3172736,3.8345209,1.58365,6603.0,4.438
5.9630544,2.951,11000.0,10.0859,0.94,5273.0,4.438
1.1219715,0.8226121,3997.6445916,3.9968417,0.624,5780.0,4.67672
4.6756655,1.914,738.0,4.03134,1.45,5779.0,4.88162
1.0180114,1.1353639,2618.9492168,6.5875997,1.0933,5451.0,4.33923
10.288886,1.391,854.0,2.63881,0.87,5126.0,4.49772
1.0332441,3.8017836,26111.5081972,4.087988,0.156193,2972.0,5.15741
5.4526479,3.401,7750.0,14.5502,1.57,6509.0,4.17233
10.2613397,4.855,726.0,3.60391,1.49,6124.0,4.15391
3.4779776,2.5103489,27021.6932424,12.5541925,0.765001,4699.0,4.54638
3.0354017,2.8809533,16196.2158157,14.1334903,1.07224,5751.0,4.35036
3.1274634,1.9812695,1331.83693,2.5802896,0.693431,4225.0,4.5756
7.4931613,1.9339295,1650.6470497,2.7733674,0.693431,4225.0,4.5756
49.825166,3.8714976,2059.4069037,3.8319135,0.693431,4225.0,4.5756
18.0574016,3.592177,1198.0572128,3.8092663,1.01,5897.0,4.45922
20.8774413,3.562,771.0,2.16145,0.9,5396.0,4.50457
1.0214555,1.252,319.0,1.46266,0.82,5098.0,4.54682
2.7441672,1.418,5650.0,7.84317,0.97,5040.0,4.38482
2.2047452,3.996,6872.0,17.9781,1.99,6532.23,3.96818
10.8948421,2.0719394,3168.3853584,2.4691414,0.435666,3618.0,4.79432
18.8016111,1.9093524,1686.7881033,1.9112282,0.435666,3618.0,4.79432
6.7900981,6.0786576,2158.1733568,9.7548481,2.00068,6378.0,4.438
8.157721,3.788,10273.0,9.31888,0.9,5091.2,4.47
4.2529641,2.5733867,758.584999,2.3483383,0.848906,5591.0,4.38111
9.2378703,2.535,660.0,2.22995,0.85,5591.0,4.38111
3.7955178,2.0198135,52278.9940979,10.3261619,0.445372,3424.0,4.438
14.3034613,3.135,48840.0,18.4949,0.83,5056.6,4.53
6.1349783,5.661,3860.0,13.1383,2.05,5828.7,3.84
3.3159772,1.494,2770.0,4.5947,0.81,4972.7,4.54
4.6313014,1.435,4860.0,9.34848,1.07,5736.0,4.39
19.3203478,4.215,13910.0,9.38964,0.8,4968.1,4.5
11.3246821,5.9704136,1937.5829721,4.2917226,0.824734,5518.0,4.59176
6.261169,2.0369188,4005.022808,1.3468319,0.211257,3145.0,5.04431
4.088721700000001,4.6,1405.9675071,3.2287724,0.857648,5544.0,4.5609
14.8559691,3.711,1127.0,2.72638,0.86,5544.0,4.5609
14.4751062,1.6182484,9618.5798534,8.6976173,0.55035,3841.0,4.69364
9.6141636,3.4271882,933.6532689,3.2264735,0.840608,5477.0,4.5707
4.9404714,1.954,455.0,2.3216,1.13,6086.0,4.26269
9.6926392,3.0182304,1838.2370548,3.289074,0.746003,4665.0,4.56182
6.390888,3.766,435.0,2.47201,1.32,6191.0,4.27017
0.9689927,2.5496309,13532.9710157,17.1331258,1.41398,6430.0,4.25113
10.338505,4.242,18162.0,11.8729,0.84,5336.96,4.55466
1.283251,2.012261,1961.318203,2.558112,0.560391,3855.0,4.68499
1.2284388,1.9190118,1229.4965125,1.866263,0.53023,3526.0,4.71105
0.6166953,0.712,1089.0,10.4852,1.57,6588.0,4.1855
9.6001126,4.9882857,380.4193796,2.4070295,1.2103699,5891.0,4.30161
2.6998294,2.208,2798.0,4.94551,0.92,6180.0,4.57956
0.581322,1.3261177,3206.6010016,2.2014886,0.38621,3446.0,4.83941
0.980972,0.5405036,6178.392421,5.9162923,0.764401,4486.0,4.49914
5.3987355,3.127,352.0,2.25345,1.26,5875.23,4.26474
7.16199,7.668,800.0,5.05452,1.81,6229.0,4.0
1.4412175,1.666,12927.0,17.0442,1.46,5672.9,4.13
1.6849938,0.916,990.0,3.76716,1.11,5923.0,4.38
3.9152737,2.562,3350.0,9.43435,1.58,5714.0,4.05
3.1968838,3.7533697,7958.980656,14.9685779,1.59715,6470.0,4.15
3.9443668,4.8652146,6732.488454,14.5727196,1.75475,5494.0,3.93
3.93034,3.667,9724.58,14.8838,1.37,6292.0,4.33
4.5371361,4.042155,4199.7558754,9.8153513,1.48668,5731.0,4.1
5.929405,3.719,16410.0,10.544,1.23434,5800.55,4.33
14.3392144,4.6064739,392.6346872,2.2963233,1.1374201,6295.7,4.438
2.8716983,4.668,8568.0,18.1267,1.91,6840.0,4.05
6.0964074,2.3632965,1142.4891745,2.5856853,0.731699,4820.4,4.6
4.088721700000001,8.0555709,2143.3712267,4.258255,0.731699,4820.4,4.6
5.6666168,3.604,9780.0,14.8589,1.47,6530.0,4.23
1.56029,2.751,1690.0,18.4825,2.29,6897.0,3.89
8.8735214,4.059,1949.0,6.0401,1.18,5992.0,4.34
7.8513774,6.699,21571.0,10.544,1.23434,5800.55,4.33
7.6869063,4.652,4500.0,23.7824,3.07,5147.3,4.33
2.534612,1.978,5185.2815163,10.544,1.23434,5009.6,4.33
1.3797091,2.352,1320.0,22.2329,2.67,5924.0,3.68
1.49861,2.871,2188.61,10.544,1.23434,8590.0,4.12
6.2407826,1.513,6114.0,16.0959,0.9,4174.0,4.34197
2.6796,2.771,7590.0,11.8862,1.32,5938.0,4.23
6.1406417,2.3525428,9437.1831553,26.5174686,1.87493,8298.0,4.19
11.0765063,4.692,4400.0,12.8076,1.86,6460.0,4.0
0.6193401,1.514,1853.0,8.84136,1.79,7812.5,4.33
2.6400663,3.368,1328.0,18.2671,2.72,5155.0,4.33
2.5778717,3.472,1010.0,18.687,3.16,8321.0,3.75
3.80509,3.347,1280.0,8.57193,2.35,6555.5,3.83
2.99041,3.952,1290.0,24.2511,3.56,8542.0,3.66
4.9865029,2.441,1341.0,10.544,1.23434,5800.55,4.33
0.890967,1.784,1100.0,2.89678,0.87,5159.2,4.5
2.1096805,2.1344043,1309.7297126,3.6396725,0.940806,5673.0,4.55383
3.9729429,3.653,4558.0,10.544,1.23434,5800.55,4.33
1.19888,1.558,1169.03,20.5525,5.46,7315.0,4.33
3.37644,1.437,5791.2,10.544,1.23434,8639.7,3.96
2.03905,2.26,430.0,6.42307,2.68,9003.0,3.94
2.9424142,4.073,1400.0,9.70968,1.79,6854.0,4.1
1.0793011,2.196,1562.0,3.31116,0.67,4349.3,4.62
8.0428575,9.504,18730.0,10.544,1.23434,8286.0,4.33
3.9392211,2.379,1468.0,27.6744,4.12,8715.0,3.55
4.0157492,2.706,1150.0,6.47219,2.07,6585.0,3.94
2.01976,3.394,3963.85,7.3626,1.72,7274.6,4.18
